Barco Seixal
0;Seixal;0
1;Cais do Sodre;5
+++
0;1;1,2,3,4,5;6:10
0;1;1,2,3,4,5;6:40
0;1;1,2,3,4,5;7:0
0;1;1,2,3,4,5;7:25
0;1;1,2,3,4,5;7:45
0;1;1,2,3,4,5;8:10
0;1;1,2,3,4,5;8:30
0;1;1,2,3,4,5;8:55
0;1;1,2,3,4,5;9:15
0;1;1,2,3,4,5;9:40
0;1;1,2,3,4,5;10:5
0;1;1,2,3,4,5;11:0
0;1;1,2,3,4,5;12:30
0;1;1,2,3,4,5;14:0
0;1;1,2,3,4,5;15:30
0;1;1,2,3,4,5;16:20
0;1;1,2,3,4,5;16:45
0;1;1,2,3,4,5;17:5
0;1;1,2,3,4,5;17:30
0;1;1,2,3,4,5;17:50
0;1;1,2,3,4,5;18:15
0;1;1,2,3,4,5;18:40
0;1;1,2,3,4,5;19:5
0;1;1,2,3,4,5;19:30
0;1;1,2,3,4,5;20:30
0;1;1,2,3,4,5;21:30
0;1;1,2,3,4,5;22:30
0;1;6;7:0
0;1;6,7;8:0
0;1;6,7;9:0
0;1;6,7;11:0
0;1;6,7;13:0
0;1;6,7;15:0
0;1;6,7;16:30
0;1;6,7;18:0
0;1;6,7;19:30
0;1;6;20:30
0;1;6;21:30
0;1;7;21:0
1;0;1,2,3,4,5;6:35
1;0;1,2,3,4,5;7:5
1;0;1,2,3,4,5;7:25
1;0;1,2,3,4,5;7:50
1;0;1,2,3,4,5;8:10
1;0;1,2,3,4,5;8:35
1;0;1,2,3,4,5;8:55
1;0;1,2,3,4,5;9:20
1;0;1,2,3,4,5;9:40
1;0;1,2,3,4,5;10:5
1;0;1,2,3,4,5;11:30
1;0;1,2,3,4,5;13:0
1;0;1,2,3,4,5;14:30
1;0;1,2,3,4,5;15:55
1;0;1,2,3,4,5;16:45
1;0;1,2,3,4,5;17:10
1;0;1,2,3,4,5;17:30
1;0;1,2,3,4,5;17:55
1;0;1,2,3,4,5;18:15
1;0;1,2,3,4,5;18:40
1;0;1,2,3,4,5;19:5
1;0;1,2,3,4,5;19:30
1;0;1,2,3,4,5;20:0
1;0;1,2,3,4,5;21:0
1;0;1,2,3,4,5;22:0
1;0;1,2,3,4,5;23:15
1;0;6;7:30
1;0;6,7;8:30
1;0;6,7;9:30
1;0;6,7;11:30
1;0;6,7;13:30
1;0;6,7;15:30
1;0;6,7;17:0
1;0;6,7;18:30
1;0;6,7;20:0
1;0;6;21:0
1;0;6;22:0
1;0;7;21:30
