Comboio Fertagus
0;Setubal;0
1;Palmela;5
2;Venda do Alcaide;5:4
3;Pinhal Novo;4
4;Penalva;6:7
5;Coina;5:4
6;Fogueteiro;5
7;Foros de Amora;3:4
8;Corroios;3
9;Pragal;5
10;Campolide;9:8
11;Sete-Rios;2:3
12;Entrecampos;4
13;Roma-Areeiro;2
+++
0;13;2,3,4,5,6;0:18
5;13;1,2,3,4,5;5:33
5;13;1,2,3,4,5;5:53
0;13;1,2,3,4,5;5:48
5;13;1,2,3,4,5;6:33
5;13;1,2,3,4,5;6:43
0;13;1,2,3,4,5;6:28
5;13;1,2,3,4,5;7:3
5;13;1,2,3,4,5;7:13
0;13;1,2,3,4,5;6:58
5;13;1,2,3,4,5;7:33
5;13;1,2,3,4,5;7:43
0;13;1,2,3,4,5;7:28
5;13;1,2,3,4,5;8:3
5;13;1,2,3,4,5;8:13
0;13;1,2,3,4,5;7:58
5;13;1,2,3,4,5;8:33
5;13;1,2,3,4,5;8:43
6;13;1,2,3,4,5;8:53
0;13;1,2,3,4,5;8:28
5;13;1,2,3,4,5;9:3
5;13;1,2,3,4,5;9:13
0;13;1,2,3,4,5;8:58
5;13;1,2,3,4,5;9:33
5;13;1,2,3,4,5;9:43
5;13;1,2,3,4,5;10:3
0;13;1,2,3,4,5;9:58
5;13;1,2,3,4,5;10:43
5;13;1,2,3,4,5;11:3
0;13;1,2,3,4,5;10:58
5;13;1,2,3,4,5;11:43
5;13;1,2,3,4,5;12:3
0;13;1,2,3,4,5;11:58
5;13;1,2,3,4,5;12:43
5;13;1,2,3,4,5;13:3
0;13;1,2,3,4,5;12:58
5;13;1,2,3,4,5;13:43
5;13;1,2,3,4,5;14:3
0;13;1,2,3,4,5;13:58
5;13;1,2,3,4,5;14:43
5;13;1,2,3,4,5;15:3
0;13;1,2,3,4,5;14:58
5;13;1,2,3,4,5;15:43
5;13;1,2,3,4,5;16:3
0;13;1,2,3,4,5;15:58
5;13;1,2,3,4,5;16:43
5;13;1,2,3,4,5;16:53
5;13;1,2,3,4,5;17:3
5;13;1,2,3,4,5;17:13
0;13;1,2,3,4,5;16:58
5;13;1,2,3,4,5;17:33
5;13;1,2,3,4,5;17:43
5;13;1,2,3,4,5;17:53
5;13;1,2,3,4,5;18:3
5;13;1,2,3,4,5;18:13
0;13;1,2,3,4,5;17:58
5;13;1,2,3,4,5;18:33
5;13;1,2,3,4,5;18:43
5;13;1,2,3,4,5;18:53
5;13;1,2,3,4,5;19:3
5;13;1,2,3,4,5;19:13
0;13;1,2,3,4,5;18:58
5;13;1,2,3,4,5;19:33
5;13;1,2,3,4,5;19:43
0;13;1,2,3,4,5;19:28
5;13;1,2,3,4,5;20:3
5;13;1,2,3,4,5;20:23
0;13;1,2,3,4,5;20:18
5;13;1,2,3,4,5;21:3
5;13;1,2,3,4,5;21:23
0;13;1,2,3,4,5;21:18
5;13;1,2,3,4,5;22:13
0;13;1,2,3,4,5;22:18
0;13;1,2,3,4,5;23:18
5;13;6;5:33
5;13;7;5:53
0;13;6,7;5:58
5;13;6,7;6:53
0;13;6,7;6:58
5;13;6,7;7:53
0;13;6,7;7:58
5;13;6,7;8:53
0;13;6,7;8:58
5;13;6,7;9:53
0;13;6,7;9:58
5;13;6,7;10:53
0;13;6,7;10:58
5;13;6,7;11:53
0;13;6,7;11:58
5;13;6,7;12:53
0;13;6,7;12:58
5;13;6,7;13:53
0;13;6,7;13:58
5;13;6,7;14:53
0;13;6,7;14:58
5;13;6,7;15:53
0;13;6,7;15:58
5;13;6,7;16:53
0;13;6,7;16:58
5;13;6,7;17:53
0;13;6,7;17:58
5;13;6,7;18:53
0;13;6,7;18:58
5;13;6,7;19:53
0;13;6,7;19:58
5;13;6,7;20:53
0;13;6,7;20:58
5;13;6,7;21:53
0;13;6,7;21:58
5;13;6,7;22:53
0;13;6,7;22:58
5;13;6,7;23:53
13;0;2,3,4,5,6;0:43
13;5;2,3,4,5,6;1:28
13;0;1,2,3,4,5;5:43
13;5;1,2,3,4,5;6:13
